Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
3307,24,student,single,secondary,no,228,no,no,cellular,20,aug,99,1,79,1,failure,no
3308,29,blue-collar,married,secondary,no,9,yes,no,cellular,25,jul,236,8,-1,0,unknown,no
3309,40,blue-collar,married,primary,no,2129,yes,no,cellular,20,apr,1156,3,-1,0,unknown,no
3310,31,entrepreneur,single,tertiary,no,46,yes,no,cellular,5,feb,90,1,-1,0,unknown,no
3311,36,management,single,tertiary,no,391,no,no,unknown,18,jun,443,1,-1,0,unknown,no
3312,42,blue-collar,married,primary,no,188,yes,no,unknown,30,may,53,5,-1,0,unknown,no
3313,38,blue-collar,married,secondary,no,35,yes,no,unknown,28,may,130,2,-1,0,unknown,no
3314,51,blue-collar,divorced,tertiary,no,257,yes,no,unknown,13,may,190,1,-1,0,unknown,no
3315,51,technician,married,unknown,no,205,yes,yes,unknown,13,may,665,1,-1,0,unknown,no
3316,44,technician,single,secondary,no,1059,yes,no,unknown,9,may,286,1,-1,0,unknown,no
3317,33,entrepreneur,married,tertiary,no,775,yes,yes,cellular,30,jul,60,3,-1,0,unknown,no
3318,32,technician,single,secondary,no,-569,yes,no,cellular,6,may,107,1,-1,0,unknown,no
3319,48,unemployed,married,secondary,no,11371,yes,no,cellular,3,feb,109,3,-1,0,unknown,no
3320,28,services,single,secondary,no,113,yes,yes,cellular,15,may,270,1,-1,0,unknown,no
3321,23,blue-collar,single,secondary,no,0,yes,no,cellular,8,may,6,5,350,2,failure,no
3322,48,self-employed,married,primary,no,1204,yes,no,unknown,19,jun,53,1,-1,0,unknown,no
3323,46,management,married,tertiary,no,0,yes,no,cellular,14,jul,247,2,-1,0,unknown,no
3324,44,management,married,secondary,no,491,yes,yes,cellular,11,may,40,4,-1,0,unknown,no
3325,26,technician,single,secondary,no,342,no,no,cellular,14,oct,133,2,-1,0,unknown,no
3326,37,management,divorced,tertiary,no,1170,yes,yes,cellular,18,may,106,1,-1,0,unknown,no
3327,39,admin.,married,secondary,no,150,no,no,cellular,25,sep,55,1,46,7,other,no
3328,48,services,married,secondary,no,0,yes,no,cellular,2,apr,146,1,267,1,failure,no
3329,34,self-employed,divorced,tertiary,no,681,no,no,cellular,20,nov,382,6,-1,0,unknown,no
3330,55,admin.,married,secondary,no,6205,no,no,cellular,6,may,233,2,-1,0,unknown,no
3331,41,blue-collar,divorced,secondary,no,-274,yes,no,cellular,8,may,279,1,-1,0,unknown,no
3332,35,unemployed,married,secondary,yes,1054,yes,yes,cellular,21,nov,106,1,-1,0,unknown,no
3333,31,blue-collar,single,secondary,no,1,no,yes,cellular,7,jul,174,1,-1,0,unknown,no
3334,26,services,married,secondary,no,2063,yes,yes,cellular,10,jul,221,1,-1,0,unknown,no
3335,32,blue-collar,married,secondary,no,8957,no,no,cellular,20,nov,145,1,-1,0,unknown,no
3336,39,blue-collar,married,primary,no,467,yes,no,cellular,16,apr,232,1,335,1,failure,no
3337,43,services,single,secondary,no,37,yes,no,cellular,7,may,329,2,-1,0,unknown,no
3338,36,technician,married,secondary,no,0,no,no,cellular,19,aug,120,6,-1,0,unknown,no
3339,27,blue-collar,single,secondary,no,541,yes,no,cellular,12,may,341,1,-1,0,unknown,no
3340,31,management,single,tertiary,no,284,no,no,cellular,21,aug,45,4,-1,0,unknown,no
3341,28,student,single,tertiary,no,737,yes,no,unknown,27,may,125,1,-1,0,unknown,no
3342,32,technician,single,tertiary,no,1454,yes,no,cellular,20,apr,190,1,335,1,other,no
3343,32,blue-collar,single,secondary,no,1139,yes,no,cellular,29,jan,57,1,191,1,failure,no
3344,40,management,married,tertiary,no,51,no,no,cellular,19,aug,164,2,-1,0,unknown,no
3345,36,unemployed,single,tertiary,no,953,yes,no,cellular,31,aug,102,2,101,3,failure,no
3346,35,management,single,tertiary,no,671,yes,no,cellular,1,jun,128,1,83,1,success,no
3347,36,services,married,secondary,no,0,no,no,cellular,17,nov,94,1,-1,0,unknown,no
3348,31,management,single,tertiary,no,2983,yes,no,cellular,2,jul,153,1,-1,0,unknown,no
3349,33,services,married,secondary,no,610,no,yes,cellular,19,aug,116,7,-1,0,unknown,no
3350,50,management,married,tertiary,no,6739,yes,no,cellular,14,jul,68,3,-1,0,unknown,no
3351,42,management,single,tertiary,no,433,yes,no,unknown,25,jun,375,2,-1,0,unknown,no
3352,32,technician,married,primary,no,62,yes,yes,unknown,13,may,120,1,-1,0,unknown,no
3353,28,self-employed,single,tertiary,no,805,no,no,cellular,26,may,69,1,99,1,success,no
3354,31,management,single,tertiary,no,725,yes,no,cellular,28,jul,211,1,92,2,failure,no
3355,28,admin.,single,secondary,no,7,yes,no,cellular,15,may,87,1,-1,0,unknown,no
3356,42,blue-collar,married,secondary,no,505,yes,no,cellular,15,may,117,1,-1,0,unknown,no
3357,55,services,single,secondary,no,987,no,no,cellular,18,aug,63,4,-1,0,unknown,no
3358,55,management,married,unknown,no,0,no,no,unknown,5,jun,353,2,-1,0,unknown,no
3359,54,unemployed,divorced,secondary,no,3721,yes,no,cellular,30,jul,163,1,-1,0,unknown,no
3360,59,services,married,secondary,no,292,no,yes,cellular,22,jul,246,4,-1,0,unknown,no
3361,39,admin.,married,secondary,no,456,yes,no,cellular,17,apr,193,3,-1,0,unknown,no
3362,34,services,married,secondary,no,2021,yes,yes,cellular,17,apr,51,6,148,8,other,no
3363,50,admin.,married,secondary,no,335,yes,no,cellular,20,apr,166,4,-1,0,unknown,no
3364,25,student,single,secondary,no,520,yes,no,cellular,7,may,236,1,-1,0,unknown,no
3365,56,retired,single,tertiary,no,352,no,no,cellular,19,nov,198,1,-1,0,unknown,no
3366,35,technician,single,secondary,no,1001,no,yes,cellular,24,jul,178,2,-1,0,unknown,no
3367,33,management,single,tertiary,no,99,no,no,cellular,8,jul,159,1,-1,0,unknown,no
3368,50,blue-collar,married,secondary,no,283,yes,no,cellular,7,aug,226,3,-1,0,unknown,no
3369,34,services,single,secondary,no,-38,yes,no,cellular,7,may,48,1,-1,0,unknown,no
3370,36,technician,divorced,secondary,no,515,yes,yes,cellular,8,may,104,4,252,3,failure,no
3371,40,housemaid,married,secondary,no,541,yes,no,cellular,30,jan,431,2,-1,0,unknown,no
3372,39,management,married,tertiary,no,198,no,no,cellular,8,jul,665,1,-1,0,unknown,no
3373,41,technician,married,secondary,no,6171,no,no,cellular,28,aug,50,5,-1,0,unknown,no
3374,44,services,married,primary,no,440,no,yes,telephone,22,jul,249,21,-1,0,unknown,no
3375,30,management,married,secondary,no,-559,yes,yes,cellular,21,nov,531,1,184,1,failure,no
3376,53,services,married,secondary,no,1194,no,no,telephone,30,jul,166,4,-1,0,unknown,no
3377,40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,yes
3378,46,blue-collar,married,primary,no,67,no,no,unknown,24,jun,9,1,-1,0,unknown,no
3379,34,admin.,divorced,secondary,no,531,no,no,cellular,4,feb,279,1,-1,0,unknown,no
3380,45,blue-collar,married,secondary,no,8680,yes,no,unknown,13,may,503,1,-1,0,unknown,no
3381,35,entrepreneur,divorced,secondary,no,80,no,no,cellular,20,aug,67,5,-1,0,unknown,no
3382,35,blue-collar,married,unknown,no,56,yes,no,unknown,3,jun,130,1,-1,0,unknown,no
3383,47,blue-collar,married,primary,no,206,yes,yes,cellular,7,may,118,1,-1,0,unknown,no
3384,26,services,single,secondary,no,397,no,no,cellular,29,jan,268,1,-1,0,unknown,no
3385,33,admin.,single,tertiary,no,701,yes,no,cellular,18,may,59,2,-1,0,unknown,no
3386,26,admin.,single,secondary,no,-35,no,yes,cellular,8,jul,304,1,-1,0,unknown,no
3387,37,blue-collar,married,primary,no,3051,no,no,cellular,14,may,386,4,-1,0,unknown,no
3388,32,blue-collar,single,secondary,no,5252,yes,no,cellular,20,nov,232,2,183,2,failure,no
3389,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
3390,43,technician,married,secondary,no,1667,no,yes,cellular,4,feb,1213,3,-1,0,unknown,no
3391,48,management,married,tertiary,no,7825,no,no,telephone,21,nov,77,5,-1,0,unknown,no
3392,49,blue-collar,married,primary,no,418,no,no,cellular,18,aug,1559,7,-1,0,unknown,no
3393,48,blue-collar,married,primary,no,0,no,no,unknown,17,jun,104,2,-1,0,unknown,no
3394,31,management,single,tertiary,no,0,yes,no,cellular,7,may,45,1,22,2,failure,no
3395,37,services,married,secondary,no,1616,yes,no,cellular,28,jul,418,3,-1,0,unknown,no
3396,47,technician,married,primary,no,145,yes,no,unknown,7,may,157,6,-1,0,unknown,no
3397,51,blue-collar,married,secondary,no,1121,no,no,cellular,4,aug,824,2,-1,0,unknown,no
3398,31,technician,single,tertiary,no,1463,no,no,cellular,11,aug,97,2,-1,0,unknown,no
3399,29,blue-collar,single,secondary,no,908,yes,no,unknown,20,jun,1663,1,-1,0,unknown,yes
3400,30,unemployed,married,secondary,no,1566,no,no,cellular,19,nov,73,1,-1,0,unknown,no
3401,32,technician,married,secondary,no,0,yes,no,cellular,8,may,77,2,-1,0,unknown,no
3402,60,management,married,secondary,no,358,no,no,unknown,18,jun,74,2,-1,0,unknown,no
3403,41,technician,married,tertiary,no,585,yes,no,telephone,20,apr,60,1,-1,0,unknown,no
3404,32,self-employed,married,tertiary,no,189,yes,no,unknown,6,jun,106,2,-1,0,unknown,no
3405,32,management,single,tertiary,no,29,yes,no,cellular,31,jul,49,24,-1,0,unknown,no
3406,41,technician,single,secondary,no,413,yes,yes,cellular,8,aug,292,2,-1,0,unknown,no
3407,49,blue-collar,married,secondary,no,8545,yes,yes,cellular,20,nov,175,1,-1,0,unknown,no
3408,46,blue-collar,married,primary,no,10333,yes,no,unknown,9,jun,579,4,-1,0,unknown,no
3409,26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown,yes
3410,25,admin.,single,secondary,no,96,no,no,unknown,26,may,293,1,-1,0,unknown,no
3411,28,unemployed,single,secondary,no,-34,no,no,cellular,15,jul,355,1,-1,0,unknown,no
3412,42,management,single,secondary,no,900,yes,no,unknown,14,sep,6,1,524,7,other,no
3413,26,admin.,married,secondary,no,3160,yes,no,unknown,27,may,154,1,-1,0,unknown,no
3414,33,management,married,tertiary,no,0,yes,no,unknown,6,may,290,1,-1,0,unknown,no
3415,33,management,single,tertiary,no,0,no,no,telephone,5,jun,109,1,-1,0,unknown,no
3416,36,self-employed,single,secondary,no,74,yes,yes,cellular,12,may,198,2,-1,0,unknown,no
3417,44,technician,married,tertiary,no,1818,yes,yes,cellular,12,aug,120,1,104,1,failure,no
3418,43,blue-collar,married,primary,no,794,yes,no,cellular,13,may,38,3,-1,0,unknown,no
3419,39,blue-collar,married,primary,no,332,yes,no,unknown,8,may,277,3,-1,0,unknown,no
3420,33,management,single,tertiary,no,641,yes,no,cellular,4,feb,147,1,253,7,other,no
3421,56,management,divorced,tertiary,no,535,yes,no,cellular,24,jul,67,1,-1,0,unknown,no
3422,39,services,married,secondary,no,-971,yes,yes,unknown,28,may,104,2,-1,0,unknown,no
3423,35,management,single,tertiary,no,6659,yes,no,unknown,21,may,83,1,-1,0,unknown,no
3424,42,housemaid,married,primary,no,128,no,no,cellular,6,aug,492,2,-1,0,unknown,no
3425,49,blue-collar,married,primary,no,247,no,yes,cellular,22,jul,283,1,-1,0,unknown,no
3426,27,blue-collar,single,secondary,no,381,yes,no,cellular,18,may,143,1,-1,0,unknown,no
3427,30,management,married,tertiary,no,1195,no,no,cellular,18,jul,146,2,-1,0,unknown,no
3428,39,blue-collar,married,secondary,no,4777,yes,no,cellular,20,nov,103,1,-1,0,unknown,no
3429,34,technician,single,secondary,no,4367,no,no,cellular,13,aug,121,2,-1,0,unknown,no
3430,36,blue-collar,married,secondary,no,325,no,no,cellular,14,apr,119,2,337,2,failure,no
3431,45,blue-collar,married,primary,no,305,yes,no,cellular,4,feb,211,1,-1,0,unknown,no
3432,27,self-employed,married,tertiary,no,607,yes,no,cellular,23,jul,123,3,-1,0,unknown,no
3433,49,management,single,tertiary,no,493,no,no,cellular,23,apr,191,1,-1,0,unknown,no
3434,31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,4,-1,0,unknown,yes
3435,31,technician,married,tertiary,no,15,no,no,unknown,2,jun,389,1,-1,0,unknown,no
3436,46,admin.,divorced,tertiary,no,-363,no,yes,cellular,30,jul,96,11,-1,0,unknown,no
3437,41,blue-collar,divorced,primary,no,1563,yes,no,unknown,15,may,112,1,-1,0,unknown,no
3438,46,management,married,tertiary,yes,-1001,yes,no,cellular,21,nov,45,3,-1,0,unknown,no
3439,34,technician,single,secondary,no,403,no,no,cellular,5,feb,319,2,-1,0,unknown,no
3440,33,services,single,primary,no,92,yes,no,cellular,17,jul,63,11,-1,0,unknown,no
3441,38,technician,single,secondary,no,227,no,no,cellular,13,aug,95,4,-1,0,unknown,no
3442,33,management,single,tertiary,no,1590,no,no,cellular,29,jan,57,1,-1,0,unknown,no
3443,35,management,married,tertiary,no,1108,yes,no,cellular,17,nov,52,1,-1,0,unknown,no
3444,31,technician,single,secondary,no,863,yes,no,cellular,25,may,166,3,111,6,failure,no
3445,34,housemaid,married,secondary,yes,0,no,no,cellular,21,aug,398,2,-1,0,unknown,no
3446,30,blue-collar,single,secondary,no,3532,yes,no,unknown,26,may,279,5,-1,0,unknown,no
3447,30,management,single,secondary,no,-383,yes,no,cellular,18,may,170,1,-1,0,unknown,no
3448,26,admin.,single,tertiary,no,6,yes,no,cellular,5,may,171,1,-1,0,unknown,no
3449,36,blue-collar,married,secondary,no,71,yes,no,unknown,30,may,510,5,-1,0,unknown,no
3450,31,technician,divorced,secondary,no,105,yes,no,cellular,16,jul,72,1,-1,0,unknown,no
3451,44,blue-collar,single,unknown,no,0,yes,no,unknown,23,may,354,4,-1,0,unknown,no
3452,36,blue-collar,divorced,secondary,no,-59,yes,no,unknown,28,may,193,1,-1,0,unknown,no
3453,53,entrepreneur,married,secondary,no,0,yes,no,cellular,22,jul,200,1,-1,0,unknown,no
3454,33,technician,single,secondary,no,338,yes,no,cellular,29,jul,105,4,-1,0,unknown,no
3455,59,housemaid,divorced,unknown,no,873,yes,no,unknown,7,may,152,3,-1,0,unknown,no
3456,42,technician,married,secondary,no,0,yes,no,unknown,14,may,833,1,-1,0,unknown,no
3457,51,admin.,married,secondary,no,1535,no,yes,cellular,20,nov,365,1,-1,0,unknown,no
3458,52,admin.,married,secondary,no,1113,no,yes,cellular,8,jul,83,1,-1,0,unknown,no
3459,39,technician,married,tertiary,no,3911,yes,no,cellular,18,nov,247,2,-1,0,unknown,no
3460,60,retired,married,tertiary,no,9397,no,no,unknown,5,jun,428,1,-1,0,unknown,no
3461,28,admin.,single,secondary,no,244,yes,no,unknown,9,may,31,3,-1,0,unknown,no
3462,45,admin.,divorced,primary,no,1807,yes,no,unknown,6,jun,118,2,-1,0,unknown,no
3463,46,management,divorced,tertiary,no,-154,no,no,cellular,17,jul,201,1,-1,0,unknown,no
3464,51,management,married,tertiary,no,0,no,no,cellular,22,aug,111,2,-1,0,unknown,no
3465,35,blue-collar,married,primary,no,77,yes,no,unknown,26,may,282,3,-1,0,unknown,no
3466,35,self-employed,married,tertiary,no,1833,no,no,unknown,19,jun,138,1,-1,0,unknown,no
3467,34,self-employed,married,primary,no,712,yes,no,unknown,2,jun,326,3,-1,0,unknown,no
3468,32,admin.,single,secondary,no,12,yes,no,cellular,5,may,242,1,365,2,failure,no
3469,60,retired,married,secondary,no,4820,no,no,unknown,5,jun,419,1,-1,0,unknown,no
3470,25,blue-collar,single,secondary,no,76,no,yes,cellular,28,jul,50,4,-1,0,unknown,no
3471,49,admin.,married,secondary,no,326,yes,no,unknown,7,may,99,2,-1,0,unknown,no
3472,29,technician,single,secondary,no,28,no,no,cellular,9,feb,96,2,-1,0,unknown,no
3473,41,blue-collar,married,primary,no,362,no,no,cellular,10,jul,326,5,-1,0,unknown,no
3474,48,services,married,secondary,no,127,no,no,cellular,8,jul,117,1,-1,0,unknown,no
3475,59,blue-collar,married,primary,no,1723,no,no,cellular,10,feb,39,3,-1,0,unknown,no
3476,33,technician,divorced,secondary,no,557,yes,no,cellular,21,aug,362,1,-1,0,unknown,no
3477,50,management,married,tertiary,no,67,no,yes,unknown,20,jun,156,3,-1,0,unknown,no
3478,38,unemployed,married,primary,no,113,yes,no,unknown,16,may,27,2,-1,0,unknown,no
3479,40,blue-collar,divorced,secondary,no,-426,no,yes,unknown,26,may,245,1,-1,0,unknown,no
3480,32,management,married,tertiary,no,0,no,no,cellular,27,aug,164,2,-1,0,unknown,no
3481,50,services,divorced,secondary,no,641,no,no,cellular,25,may,128,3,-1,0,unknown,no
3482,37,technician,single,secondary,no,255,no,no,unknown,5,jun,447,2,-1,0,unknown,no
3483,62,retired,married,primary,no,1515,yes,no,cellular,19,oct,131,1,187,2,failure,no
3484,35,blue-collar,married,secondary,no,344,yes,no,unknown,20,jun,11,18,-1,0,unknown,no
3485,31,management,single,tertiary,no,391,yes,no,cellular,12,aug,454,3,-1,0,unknown,no
3486,36,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
3487,39,technician,married,secondary,no,-295,yes,no,unknown,2,jun,288,1,-1,0,unknown,no
3488,35,technician,single,secondary,no,5059,no,yes,cellular,7,aug,115,2,-1,0,unknown,no
3489,57,blue-collar,married,primary,no,12048,yes,no,cellular,15,apr,103,2,-1,0,unknown,no
3490,41,admin.,married,tertiary,no,1287,no,no,unknown,16,jun,286,1,-1,0,unknown,no
3491,30,management,married,tertiary,no,802,yes,no,cellular,13,aug,105,1,-1,0,unknown,no
3492,38,services,married,secondary,no,4582,yes,no,telephone,16,apr,193,1,314,4,other,no
3493,35,technician,divorced,secondary,no,103,yes,no,cellular,21,jul,304,1,-1,0,unknown,no
3494,36,blue-collar,married,secondary,no,306,no,no,cellular,31,jul,43,3,-1,0,unknown,no
3495,41,blue-collar,married,secondary,yes,-750,yes,yes,cellular,21,jul,251,3,-1,0,unknown,no
3496,45,technician,married,secondary,no,1629,no,no,cellular,18,aug,58,4,-1,0,unknown,no
3497,51,blue-collar,married,primary,no,21614,no,no,cellular,29,aug,47,20,-1,0,unknown,no
3498,32,blue-collar,single,secondary,no,6982,yes,no,cellular,20,nov,224,2,183,1,failure,no
3499,51,blue-collar,married,tertiary,no,84,no,yes,unknown,27,jun,269,1,-1,0,unknown,no
3500,37,blue-collar,married,secondary,no,0,no,no,unknown,27,may,33,6,-1,0,unknown,no
3501,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
3502,46,entrepreneur,married,secondary,no,1375,yes,no,unknown,30,may,170,7,-1,0,unknown,no
3503,35,management,single,unknown,no,343,no,no,cellular,29,jan,45,2,-1,0,unknown,no
3504,33,blue-collar,married,primary,no,163,yes,no,unknown,20,may,135,1,-1,0,unknown,no
3505,35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,may,251,3,-1,0,unknown,no
3506,36,entrepreneur,married,tertiary,no,733,no,yes,telephone,14,jul,124,12,-1,0,unknown,no
3507,35,blue-collar,married,primary,no,2878,yes,no,cellular,18,nov,140,2,-1,0,unknown,no
3508,48,management,married,tertiary,no,2460,no,no,cellular,27,aug,106,11,-1,0,unknown,no
3509,46,services,married,primary,no,43,yes,no,unknown,3,jun,86,5,-1,0,unknown,no
3510,47,housemaid,married,secondary,no,0,yes,no,telephone,13,may,20,2,-1,0,unknown,no
3511,44,blue-collar,married,primary,no,622,yes,no,unknown,21,feb,66,1,-1,0,unknown,no
3512,50,blue-collar,married,secondary,no,5,no,no,unknown,19,jun,170,7,-1,0,unknown,no
3513,59,blue-collar,married,secondary,no,0,no,no,unknown,6,jun,135,1,-1,0,unknown,no
3514,30,admin.,single,tertiary,no,4129,no,no,cellular,1,sep,77,1,-1,0,unknown,no
3515,37,admin.,single,tertiary,no,0,yes,no,cellular,5,may,342,2,-1,0,unknown,no
3516,32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,159,2,195,2,failure,no
3517,45,blue-collar,married,secondary,no,-104,yes,no,cellular,11,may,33,12,-1,0,unknown,no
3518,37,services,married,secondary,no,1627,yes,no,unknown,12,jun,602,2,-1,0,unknown,no
3519,26,admin.,single,secondary,no,94,no,no,cellular,29,jan,171,1,-1,0,unknown,no
3520,40,blue-collar,married,primary,no,1136,yes,no,unknown,21,may,86,1,-1,0,unknown,no
3521,47,blue-collar,married,primary,no,4666,no,no,unknown,14,may,451,3,-1,0,unknown,no
3522,36,entrepreneur,married,primary,no,6317,no,no,unknown,12,jun,478,2,-1,0,unknown,no
3523,56,management,married,tertiary,no,6475,no,no,cellular,25,jul,200,3,-1,0,unknown,no
3524,39,management,married,primary,no,3760,no,yes,cellular,17,jul,262,1,-1,0,unknown,no
3525,45,retired,single,tertiary,no,212,no,no,unknown,9,jun,63,1,-1,0,unknown,no
3526,31,blue-collar,married,primary,no,1644,no,no,cellular,5,jun,247,3,-1,0,unknown,no
3527,37,self-employed,single,secondary,no,125,no,no,unknown,5,jun,56,1,-1,0,unknown,no
3528,58,management,married,tertiary,no,4606,no,no,telephone,24,feb,601,2,-1,0,unknown,no
3529,51,technician,married,secondary,no,1490,yes,no,cellular,2,feb,177,1,199,2,failure,no
3530,72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,no
3531,33,admin.,single,secondary,no,901,no,no,cellular,3,feb,18,5,6,3,other,no
3532,46,services,married,primary,no,830,yes,yes,cellular,11,jul,211,2,-1,0,unknown,no
3533,41,housemaid,married,secondary,no,12,no,yes,cellular,28,jul,472,3,-1,0,unknown,no
3534,34,blue-collar,single,secondary,no,0,yes,no,cellular,20,apr,525,1,-1,0,unknown,no
3535,30,management,single,tertiary,no,2186,yes,no,unknown,3,jun,366,1,-1,0,unknown,no
3536,53,management,single,secondary,no,5558,yes,no,unknown,16,may,286,3,-1,0,unknown,no
3537,46,technician,single,secondary,no,834,yes,no,cellular,11,jul,196,2,-1,0,unknown,no
3538,49,housemaid,single,primary,no,1158,yes,no,unknown,14,may,159,3,-1,0,unknown,no
3539,53,housemaid,single,primary,no,80,no,no,cellular,5,feb,230,2,-1,0,unknown,no
3540,39,management,married,tertiary,no,93,yes,no,cellular,28,aug,65,1,95,5,failure,no
3541,30,admin.,single,secondary,no,-36,no,no,cellular,16,jul,561,9,-1,0,unknown,yes
3542,50,blue-collar,married,secondary,no,825,yes,no,cellular,16,apr,18,3,273,1,failure,no
3543,56,management,married,tertiary,no,67,no,yes,cellular,29,aug,88,2,-1,0,unknown,no
3544,24,admin.,single,secondary,no,120,yes,no,cellular,18,may,145,1,-1,0,unknown,no
3545,46,admin.,married,secondary,no,196,yes,no,telephone,14,may,29,2,-1,0,unknown,no
3546,30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown,yes
3547,29,self-employed,single,tertiary,no,162,no,yes,cellular,25,jul,324,1,-1,0,unknown,no
3548,38,admin.,divorced,secondary,no,1314,no,no,cellular,29,aug,156,2,-1,0,unknown,no
3549,38,blue-collar,married,secondary,no,769,yes,no,unknown,3,jun,235,1,-1,0,unknown,no
3550,40,services,married,secondary,no,1674,yes,yes,cellular,4,feb,144,1,274,2,other,no
3551,37,admin.,married,secondary,no,3420,no,no,telephone,12,aug,92,1,-1,0,unknown,no
3552,30,blue-collar,single,secondary,no,-110,yes,no,cellular,6,may,428,1,-1,0,unknown,no
3553,33,technician,married,tertiary,no,74,no,no,cellular,25,aug,116,4,-1,0,unknown,no
3554,29,technician,single,secondary,no,307,yes,no,cellular,3,feb,216,1,-1,0,unknown,no
3555,59,retired,married,primary,no,413,yes,yes,cellular,9,feb,109,5,-1,0,unknown,no
3556,30,blue-collar,married,primary,no,1317,yes,no,unknown,21,may,395,2,-1,0,unknown,no
3557,63,retired,married,secondary,no,588,no,no,cellular,19,oct,143,2,-1,0,unknown,no
3558,32,management,married,tertiary,no,6138,no,no,cellular,3,sep,251,3,36,11,success,no
3559,51,management,married,tertiary,no,1854,yes,yes,cellular,7,may,166,3,338,2,failure,no
3560,35,technician,single,secondary,no,4645,yes,no,cellular,11,jan,502,3,270,40,other,no
3561,35,housemaid,married,tertiary,no,3831,no,no,cellular,20,nov,59,2,-1,0,unknown,no
3562,55,retired,married,secondary,no,159,no,no,cellular,28,aug,159,1,-1,0,unknown,no
3563,57,blue-collar,married,primary,no,47,no,yes,unknown,3,jul,326,1,-1,0,unknown,no
3564,46,blue-collar,married,secondary,no,176,no,no,unknown,29,may,131,1,-1,0,unknown,no
3565,37,management,married,tertiary,no,785,yes,no,cellular,17,nov,219,2,-1,0,unknown,no
3566,28,student,single,secondary,no,970,no,no,telephone,4,aug,297,1,-1,0,unknown,no
3567,57,self-employed,married,primary,no,1013,yes,no,unknown,7,may,448,1,-1,0,unknown,no
3568,41,admin.,single,tertiary,no,982,no,no,cellular,23,jul,105,1,-1,0,unknown,no
3569,35,admin.,single,secondary,no,182,yes,no,unknown,3,jun,117,1,-1,0,unknown,no
3570,49,management,married,tertiary,no,176,yes,yes,cellular,14,jul,102,2,-1,0,unknown,no
3571,42,management,married,tertiary,no,1,no,no,unknown,14,may,253,1,-1,0,unknown,no
3572,48,services,married,secondary,no,1323,yes,yes,cellular,7,may,99,1,-1,0,unknown,no
3573,31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
3574,51,technician,married,primary,no,223,yes,no,unknown,5,jun,131,3,-1,0,unknown,no
3575,51,management,married,secondary,no,873,no,no,cellular,29,jan,273,1,-1,0,unknown,no
3576,29,blue-collar,married,secondary,no,314,yes,yes,cellular,17,apr,357,1,-1,0,unknown,no
3577,43,technician,single,secondary,no,59,yes,no,unknown,11,jun,107,19,-1,0,unknown,no
3578,47,housemaid,married,primary,no,0,yes,no,telephone,15,jul,162,1,-1,0,unknown,no
3579,36,management,single,tertiary,no,2806,yes,no,unknown,30,may,358,4,-1,0,unknown,no
3580,31,management,married,tertiary,no,2229,yes,no,unknown,26,may,90,4,-1,0,unknown,no
3581,40,unemployed,married,primary,no,69,no,yes,cellular,4,feb,171,1,-1,0,unknown,no
3582,44,blue-collar,married,primary,no,-544,yes,yes,unknown,26,may,181,3,-1,0,unknown,no
3583,32,technician,single,tertiary,no,0,yes,no,unknown,21,may,250,2,-1,0,unknown,no
3584,41,technician,married,secondary,no,128,yes,no,cellular,27,aug,100,2,-1,0,unknown,no
3585,51,blue-collar,married,secondary,no,279,no,no,cellular,28,aug,64,3,-1,0,unknown,no
3586,40,technician,divorced,secondary,no,841,no,yes,telephone,29,aug,36,2,-1,0,unknown,no
3587,38,management,married,tertiary,no,441,yes,yes,cellular,22,aug,82,7,-1,0,unknown,no
3588,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
3589,28,admin.,single,secondary,no,-103,yes,no,unknown,12,may,252,4,-1,0,unknown,no
3590,54,blue-collar,married,secondary,no,734,no,yes,unknown,12,jun,124,1,-1,0,unknown,no
3591,31,blue-collar,married,primary,no,1654,yes,no,cellular,18,may,288,1,-1,0,unknown,no
3592,57,management,married,secondary,no,-868,yes,yes,cellular,23,jul,186,1,-1,0,unknown,no
3593,28,blue-collar,married,secondary,no,4,yes,no,cellular,15,may,310,1,-1,0,unknown,no
3594,47,blue-collar,married,primary,no,362,yes,no,cellular,18,aug,111,8,-1,0,unknown,no
3595,38,technician,married,tertiary,no,52,yes,no,cellular,14,apr,82,4,-1,0,unknown,no
3596,48,services,married,secondary,no,300,no,yes,cellular,16,jul,52,8,-1,0,unknown,no
3597,29,blue-collar,married,primary,no,-235,yes,no,cellular,22,jul,189,1,-1,0,unknown,no
