ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1300,1.26,Ideal,F,VS2,EX,EX,GIA,10709
1301,2.11,Very Good,E,VVS1,VG,VG,GIA,56065
1302,1.13,Very Good,G,VS1,VG,VG,GIA,7815
1303,1.81,Ideal,I,VS1,EX,EX,GIA,12711
1304,1.05,Very Good,D,VS2,G,G,GIA,6373
1305,1.5,Very Good,H,VS2,VG,G,GIA,9706
1306,0.9,Ideal,G,VVS2,EX,EX,GIA,6302
1307,1.01,Good,D,SI1,G,G,GIA,5161
1308,1.02,Very Good,G,IF,VG,VG,GIA,8538
1309,0.76,Very Good,H,SI1,VG,VG,GIA,2557
1310,1.24,Ideal,H,SI1,EX,EX,GIA,6717
1311,1.1,Ideal,H,VVS1,VG,EX,GIA,7434
1312,2.28,Ideal,I,VVS2,EX,EX,GIA,23837
1313,0.9,Fair,F,SI1,G,VG,GIA,3733
1314,2.24,Very Good,G,VS1,VG,G,GIA,30455
1315,1.61,Ideal,I,VS2,EX,VG,GIA,11826
1316,1.53,Very Good,G,VVS2,EX,EX,GIA,15466
1317,2.01,Very Good,G,VS2,VG,VG,GIA,25948
1318,1.03,Ideal,D,SI1,EX,EX,GIA,6250
1319,2.07,Ideal,H,VS2,EX,EX,GIA,20737
1320,1.01,Good,G,VS2,VG,VG,GIA,5861
1321,1,Good,D,VS2,EX,VG,GIA,6163
1322,2.02,Good,E,VS1,EX,VG,GIA,29334
1323,1.57,Ideal,E,VVS2,VG,VG,GIA,21465
1324,1.76,Ideal,G,SI1,EX,EX,GIA,10896
1325,1.5,Very Good,F,VS2,EX,EX,GIA,13537
1326,1,Very Good,I,VS2,EX,VG,GIA,4566
1327,1.03,Ideal,E,VVS2,EX,EX,GIA,10003
1328,1.28,Ideal,E,VS1,VG,EX,GIA,11696
1329,1.08,Very Good,I,SI1,EX,EX,GIA,4790
1330,1,Good,H,SI1,VG,G,GIA,4447
1331,1.13,Signature-Ideal,E,VVS1,ID,ID,AGSL,14816
1332,1.17,Very Good,H,SI1,G,VG,GIA,5995
1333,1.01,Ideal,I,SI1,EX,EX,GIA,4942
1334,1.23,Ideal,D,VVS2,EX,EX,GIA,13274
1335,0.75,Very Good,E,VVS1,EX,VG,GIA,4889
1336,1.09,Ideal,D,SI1,EX,VG,GIA,6337
1337,1.01,Good,G,VS2,VG,VG,GIA,5770
1338,2.04,Ideal,H,VS2,VG,VG,GIA,20827
1339,1.14,Good,F,SI1,VG,VG,GIA,5986
1340,1.63,Ideal,D,SI1,EX,EX,GIA,13625
1341,0.9,Good,G,VS2,VG,VG,GIA,4400
1342,1.01,Ideal,G,VS2,ID,ID,AGSL,6439
1343,0.8,Very Good,G,SI1,G,G,GIA,3071
1344,2.01,Very Good,G,VS2,EX,EX,GIA,26069
1345,2.02,Very Good,F,SI1,VG,VG,GIA,19606
1346,1,Fair,E,SI1,VG,VG,GIA,5247
1347,1,Fair,E,SI1,VG,G,GIA,4973
1348,1.08,Signature-Ideal,H,SI1,ID,ID,AGSL,6426
1349,1.01,Ideal,G,VS2,EX,EX,GIA,6734
1350,1.5,Ideal,H,VVS2,VG,VG,GIA,13412
1351,1.01,Good,D,SI1,VG,VG,GIA,5380
1352,1,Very Good,F,SI1,EX,VG,GIA,5804
1353,2.12,Ideal,H,VS2,ID,ID,AGSL,21846
1354,1.02,Very Good,G,VS1,EX,VG,GIA,6694
1355,1.17,Signature-Ideal,G,VS1,EX,EX,GIA,9326
1356,1.5,Fair,I,SI1,VG,VG,GIA,7912
1357,1.34,Ideal,H,SI1,EX,EX,GIA,7659
1358,1.04,Very Good,G,VS1,VG,VG,GIA,7049
1359,2.26,Very Good,E,SI1,VG,G,GIA,20339
1360,1.18,Very Good,G,VS2,ID,ID,AGSL,7619
1361,1.26,Very Good,G,VS2,VG,VG,GIA,8040
1362,1.01,Fair,E,SI1,VG,VG,GIA,4844
1363,0.9,Ideal,G,VS2,EX,EX,GIA,4748
1364,1.53,Good,F,SI1,VG,VG,GIA,11207
1365,1.08,Ideal,D,SI1,EX,EX,GIA,6539
1366,1.02,Ideal,F,VS1,VG,G,GIA,7091
1367,1.09,Very Good,D,SI1,VG,VG,GIA,6438
1368,0.75,Very Good,G,VS2,EX,VG,GIA,2876
1369,1.2,Ideal,D,SI1,EX,EX,GIA,8037
1370,1.15,Signature-Ideal,E,VS2,ID,ID,AGSL,9967
1371,0.8,Very Good,E,VS1,EX,VG,GIA,3831
1372,2.01,Good,I,SI1,VG,G,GIA,14552
1373,1.51,Ideal,G,VS1,EX,EX,GIA,14733
1374,2.47,Ideal,I,VS1,ID,ID,AGSL,24667
1375,2.12,Very Good,E,IF,VG,VG,GIA,49184
1376,1,Very Good,G,VVS1,EX,G,GIA,7872
1377,1.51,Very Good,I,VS1,VG,VG,GIA,9823
1378,1.02,Very Good,I,VS1,G,VG,GIA,4753
1379,1.1,Very Good,H,SI1,EX,VG,GIA,5298
1380,0.9,Very Good,E,VS2,EX,EX,GIA,5887
1381,1.5,Very Good,G,VS2,EX,EX,GIA,12532
1382,1.21,Good,D,SI1,G,G,GIA,6727
1383,1.08,Ideal,D,SI1,VG,VG,GIA,6078
1384,2.19,Very Good,G,VS1,VG,VG,GIA,29065
1385,1.25,Ideal,G,VS1,ID,ID,AGSL,9418
1386,1,Ideal,D,VS2,EX,EX,GIA,6999
1387,1,Very Good,H,SI1,VG,VG,GIA,4830
1388,0.9,Good,H,VS1,VG,VG,GIA,3796
1389,1.18,Very Good,D,SI1,G,G,GIA,6261
1390,1.23,Very Good,G,VVS2,EX,EX,GIA,9999
1391,1.34,Very Good,I,SI1,G,VG,GIA,6763
1392,0.94,Ideal,G,VVS1,EX,VG,GIA,6488
1393,1.21,Ideal,D,VVS2,EX,EX,GIA,13965
1394,1.3,Ideal,H,IF,EX,VG,GIA,9399
1395,0.79,Ideal,H,VS2,G,EX,GIA,2844
1396,0.9,Very Good,I,SI1,EX,VG,GIA,3407
1397,1.8,Very Good,H,VVS1,VG,VG,GIA,16195
1398,0.9,Very Good,I,VS2,VG,EX,GIA,3489
1399,1.32,Ideal,I,VS1,EX,EX,GIA,7095
1400,1.04,Ideal,E,VVS2,VG,VG,GIA,9949
1401,0.81,Very Good,D,VVS2,VG,VG,GIA,5423
1402,0.9,Very Good,D,SI1,VG,G,GIA,4537
1403,1.53,Very Good,G,VS1,VG,G,GIA,15008
1404,1.01,Very Good,I,SI1,G,G,GIA,4065
1405,1.14,Very Good,G,SI1,VG,G,GIA,5662
1406,1.03,Ideal,D,VS1,G,G,GIA,8645
1407,1.02,Ideal,E,VS2,VG,G,GIA,6704
1408,1,Very Good,I,SI1,ID,ID,AGSL,5203
1409,0.79,Very Good,I,VS1,EX,EX,GIA,2727
1410,1.08,Very Good,G,VS2,VG,G,GIA,6777
1411,2.02,Ideal,I,SI1,EX,EX,GIA,16560
1412,1.01,Very Good,G,SI1,VG,EX,GIA,7496
1413,1.16,Ideal,D,VVS2,EX,VG,GIA,12450
1414,0.91,Very Good,G,VS1,VG,VG,GIA,4623
1415,0.77,Very Good,F,VVS1,G,VG,GIA,4304
1416,1.05,Ideal,I,VS2,ID,ID,AGSL,5291
1417,1,Very Good,H,VVS2,VG,VG,GIA,6249
1418,1.01,Very Good,I,SI1,VG,G,GIA,4186
1419,1.51,Ideal,G,VS2,VG,VG,GIA,14196
1420,2.03,Ideal,G,SI1,EX,EX,GIA,20910
1421,1.31,Ideal,F,VS1,EX,EX,GIA,12825
1422,1.09,Ideal,G,VS2,EX,EX,GIA,6905
1423,1,Very Good,I,SI1,VG,EX,GIA,4538
1424,2,Good,G,VS2,VG,G,GIA,24376
1425,1.62,Very Good,I,VS2,VG,VG,GIA,9683
1426,1.01,Good,G,SI1,VG,VG,GIA,4905
1427,1,Ideal,G,VS2,VG,VG,GIA,5887
1428,1.39,Very Good,I,VS2,G,G,GIA,7130
1429,1.74,Good,G,VS1,VG,VG,GIA,16223
1430,2.31,Ideal,E,SI1,VG,VG,GIA,23506
1431,1.1,Ideal,G,VS1,EX,EX,GIA,8060
1432,1.27,Very Good,I,VS2,G,VG,GIA,6587
1433,0.9,Fair,H,VS2,VG,G,GIA,3683
1434,1.05,Ideal,G,SI1,VG,VG,GIA,5192
1435,1.03,Ideal,F,VS1,EX,EX,GIA,8133
1436,1.04,Ideal,I,VS1,ID,ID,AGSL,5229
1437,0.85,Ideal,D,SI1,VG,VG,GIA,3639
1438,1.56,Ideal,D,VS2,EX,EX,GIA,18895
1439,1.02,Ideal,F,SI1,VG,EX,GIA,5795
1440,2.02,Very Good,H,SI1,EX,EX,AGSL,19201
1441,0.81,Very Good,I,SI1,VG,VG,GIA,2701
1442,1.06,Ideal,G,SI1,VG,VG,GIA,5870
1443,1,Very Good,F,VS1,G,G,GIA,6694
1444,2.01,Good,E,SI1,EX,G,GIA,20157
1445,1.01,Very Good,E,SI1,EX,EX,GIA,5556
1446,1.23,Very Good,G,VS1,G,G,GIA,8494
1447,1.53,Ideal,H,SI1,ID,ID,AGSL,10760
1448,0.92,Very Good,H,VS1,EX,VG,GIA,4188
1449,2.03,Ideal,D,VVS2,EX,EX,GIA,43556
1450,1.01,Good,F,SI1,G,G,GIA,4737
1451,1,Good,G,VS2,VG,G,GIA,5713
1452,0.79,Ideal,G,VVS2,ID,ID,AGSL,3877
1453,2.01,Ideal,F,SI1,EX,EX,GIA,21872
1454,1.05,Very Good,G,VS2,G,VG,GIA,5917
1455,1.5,Ideal,G,VVS2,EX,VG,GIA,16948
1456,1.06,Very Good,D,SI1,G,G,GIA,5893
1457,0.77,Very Good,G,VS2,EX,EX,GIA,3124
1458,1.01,Good,E,SI1,VG,VG,GIA,5233
1459,1.07,Very Good,G,SI1,VG,VG,AGSL,5250
1460,1.1,Ideal,D,VVS2,EX,EX,GIA,10410
1461,0.77,Signature-Ideal,I,SI1,EX,EX,GIA,2946
1462,0.76,Very Good,G,VS2,VG,G,GIA,3170
1463,1.38,Ideal,G,VVS1,EX,VG,GIA,12684
1464,2.1,Ideal,G,VS1,EX,EX,GIA,30773
1465,1.5,Very Good,I,VS1,VG,G,GIA,9889
1466,1.58,Ideal,I,VVS1,ID,ID,AGSL,11435
1467,0.81,Ideal,D,SI1,VG,VG,GIA,4053
1468,0.9,Good,F,VS2,G,G,GIA,4095
1469,2.04,Ideal,F,SI1,EX,EX,GIA,21516
1470,0.9,Very Good,I,VS1,VG,VG,GIA,3880
1471,0.79,Good,E,SI1,VG,VG,GIA,2548
1472,1.07,Signature-Ideal,E,VVS2,EX,EX,GIA,12031
1473,1,Very Good,F,VS2,EX,EX,GIA,6267
1474,2.08,Ideal,D,VS2,EX,EX,GIA,31542
1475,1.04,Ideal,H,SI1,EX,EX,GIA,5469
1476,2.03,Ideal,H,VS2,EX,EX,GIA,21462
1477,2.11,Very Good,I,VS2,VG,VG,GIA,16026
1478,2.52,Ideal,E,VS1,VG,VG,GIA,44973
1479,1.01,Ideal,F,VS1,EX,VG,GIA,6945
1480,1.27,Good,E,VS1,VG,VG,GIA,10474
1481,1.07,Ideal,H,VS2,VG,VG,GIA,5813
1482,0.84,Ideal,I,VS1,EX,EX,GIA,2898
1483,2.07,Very Good,D,VS1,EX,EX,GIA,42225
1484,0.93,Good,H,VS1,G,G,GIA,4352
1485,1.55,Very Good,G,VS1,VG,EX,GIA,14386
1486,0.83,Very Good,E,SI1,G,G,AGSL,3295
1487,1.57,Ideal,E,VS2,EX,EX,GIA,17548
1488,0.9,Very Good,G,VS1,EX,ID,AGSL,5148
1489,0.76,Good,G,IF,VG,G,GIA,3304
1490,1.31,Ideal,D,SI1,VG,VG,GIA,9219
1491,0.78,Ideal,H,VVS2,EX,EX,GIA,3581
1492,1.14,Signature-Ideal,G,VS1,ID,ID,AGSL,9090
1493,1,Very Good,F,SI1,EX,VG,GIA,4826
1494,2.26,Good,G,VS2,VG,VG,GIA,26847
1495,2.02,Very Good,F,VS2,VG,G,GIA,25877
1496,2.02,Very Good,G,SI1,VG,G,GIA,21075
1497,1.1,Signature-Ideal,I,VVS1,EX,EX,GIA,7468
1498,0.8,Very Good,F,SI1,VG,VG,GIA,3532
1499,2.03,Very Good,G,SI1,VG,G,GIA,18630
1500,2,Very Good,D,VS1,EX,EX,GIA,36028
1501,1.29,Very Good,H,VS2,VG,G,GIA,7044
1502,1.23,Signature-Ideal,E,IF,ID,ID,AGSL,17930
1503,1.02,Very Good,F,SI1,EX,VG,AGSL,5386
1504,1.52,Very Good,H,VS1,VG,VG,GIA,12877
1505,1.05,Ideal,F,VS2,VG,EX,GIA,7019
1506,1.04,Very Good,G,SI1,VG,VG,GIA,5070
1507,1.12,Ideal,F,VS2,VG,VG,GIA,7715
1508,2.2,Ideal,G,VS1,EX,EX,GIA,27227
1509,1.03,Very Good,I,SI1,VG,G,GIA,4304
1510,0.79,Ideal,I,VVS1,EX,EX,GIA,3191
1511,0.96,Ideal,D,VS1,VG,EX,GIA,6948
1512,1.14,Ideal,F,VS1,EX,EX,GIA,9074
1513,1.32,Ideal,G,VS1,ID,ID,AGSL,11079
1514,1.01,Very Good,D,VS2,VG,EX,GIA,7519
1515,1.14,Very Good,F,SI1,VG,G,GIA,5819
1516,1.01,Signature-Ideal,E,VVS2,ID,ID,AGSL,11400
1517,1.1,Very Good,H,SI1,VG,EX,GIA,4938
1518,2.02,Very Good,E,VS2,VG,EX,GIA,28739
1519,2.61,Very Good,F,VS2,VG,VG,GIA,39909
1520,0.75,Very Good,E,VS2,VG,G,GIA,3718
1521,1,Very Good,F,VS2,G,G,GIA,6619
1522,2.5,Very Good,G,SI1,VG,VG,GIA,27396
1523,1.57,Very Good,I,VS2,VG,EX,GIA,9688
1524,1.07,Ideal,F,SI1,EX,EX,GIA,5909
1525,1,Very Good,F,SI1,EX,VG,GIA,5528
1526,1,Good,E,SI1,EX,G,GIA,5037
1527,1.02,Very Good,G,SI1,G,EX,GIA,4951
1528,1.04,Ideal,F,VS1,VG,VG,GIA,6873
1529,2.03,Ideal,G,VS1,VG,VG,GIA,27435
1530,1.2,Ideal,I,SI1,EX,VG,GIA,5476
1531,2,Very Good,G,SI1,VG,VG,GIA,18818
1532,1.14,Ideal,G,IF,EX,EX,GIA,9948
1533,0.91,Fair,H,SI1,VG,G,GIA,3325
1534,0.91,Fair,F,SI1,VG,G,GIA,4036
1535,2.01,Very Good,I,VS2,EX,VG,GIA,15716
1536,2.25,Very Good,G,VS1,VG,VG,GIA,33248
1537,2.12,Very Good,I,SI1,EX,EX,AGSL,16274
1538,1.52,Ideal,H,VS2,ID,ID,AGSL,11896
1539,0.82,Very Good,H,VS2,EX,EX,GIA,3380
1540,1.58,Ideal,I,VVS1,ID,ID,AGSL,11526
1541,1.04,Very Good,I,VS2,EX,VG,GIA,4678
1542,1.59,Ideal,G,VVS1,EX,EX,GIA,17809
1543,1.15,Very Good,D,VS2,VG,G,GIA,7662
1544,1.28,Very Good,G,VVS1,ID,ID,AGSL,11214
1545,0.94,Very Good,G,VS2,VG,G,AGSL,4488
1546,1.62,Signature-Ideal,D,FL,EX,EX,GIA,43344
1547,0.9,Ideal,E,SI1,EX,EX,GIA,5373
1548,1.01,Very Good,G,SI1,EX,G,GIA,5073
1549,2.5,Ideal,I,SI1,VG,VG,GIA,20009
1550,1.04,Very Good,G,SI1,VG,G,GIA,5043
1551,1.21,Ideal,E,SI1,VG,EX,GIA,7088
1552,2.51,Ideal,D,VS1,VG,VG,GIA,46395
1553,1.02,Very Good,I,VS1,EX,VG,GIA,4872
1554,1.04,Ideal,I,SI1,VG,EX,GIA,4308
1555,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079
1556,1.56,Ideal,D,FL,EX,EX,GIA,33868
1557,1.5,Ideal,G,VS1,EX,VG,GIA,14067
1558,1.03,Very Good,H,VS2,VG,EX,GIA,5528
1559,0.91,Very Good,E,VS1,EX,EX,GIA,5530
1560,1.51,Ideal,G,VS2,EX,EX,GIA,13752
1561,1.01,Ideal,G,VS2,ID,ID,AGSL,6295
1562,1.01,Very Good,D,VS2,VG,G,GIA,6845
1563,1,Very Good,E,VVS2,VG,VG,GIA,9815
1564,2,Ideal,E,SI1,VG,VG,GIA,20327
1565,2.19,Ideal,E,VS1,EX,EX,GIA,30507
1566,2.02,Very Good,H,SI1,EX,EX,GIA,18097
1567,2,Good,E,SI1,VG,G,GIA,20000
1568,2.01,Ideal,H,VS1,EX,VG,GIA,23040
1569,1.12,Ideal,H,VVS2,VG,VG,GIA,7325
1570,1.04,Ideal,F,SI1,EX,EX,GIA,5495
1571,1,Ideal,H,VS2,EX,VG,GIA,6133
1572,1.5,Ideal,H,VVS2,ID,ID,AGSL,12187
1573,0.78,Ideal,D,VS2,EX,EX,GIA,3811
1574,2.35,Very Good,D,IF,VG,VG,GIA,59415
1575,1.2,Very Good,I,SI1,EX,VG,GIA,5522
1576,2.08,Ideal,I,VS2,VG,VG,GIA,17539
1577,2.07,Very Good,G,SI1,VG,EX,GIA,19649
1578,1.01,Very Good,G,VS1,EX,EX,GIA,6795
1579,2.11,Very Good,I,SI1,VG,VG,GIA,16635
1580,2.09,Ideal,H,VS1,EX,EX,GIA,23602
1581,1,Very Good,H,VS1,EX,VG,GIA,5619
1582,2.07,Ideal,H,VS2,ID,ID,AGSL,21057
1583,1.06,Fair,G,SI1,G,G,GIA,4528
1584,1.08,Very Good,E,VS1,G,VG,GIA,7168
1585,0.9,Very Good,F,SI1,VG,EX,GIA,4004
1586,1.63,Ideal,I,VS2,EX,EX,GIA,10401
1587,0.91,Ideal,F,SI1,VG,EX,GIA,4267
1588,0.91,Very Good,F,SI1,VG,VG,GIA,4141
1589,1.1,Ideal,H,VS2,VG,VG,GIA,6387
1590,1.2,Signature-Ideal,H,VS1,EX,EX,GIA,8852
1591,1.04,Ideal,G,VS2,VG,VG,GIA,6481
1592,1.04,Ideal,F,VS2,EX,EX,GIA,7508
1593,1.52,Very Good,G,SI1,EX,VG,GIA,10150
1594,1.06,Ideal,I,VS2,EX,EX,GIA,5362
1595,1.01,Very Good,D,SI1,EX,EX,GIA,5622
1596,1.5,Very Good,F,VS2,EX,VG,GIA,13001
1597,0.91,Very Good,H,VVS2,VG,EX,GIA,4665
1598,1.62,Ideal,G,SI1,VG,VG,GIA,11885
1599,1.5,Ideal,I,VVS2,EX,EX,GIA,10907
1600,1.29,Ideal,E,VS1,EX,EX,GIA,12132
1601,1.1,Very Good,F,VS2,G,VG,GIA,6812
1602,1.08,Very Good,E,VS1,G,EX,GIA,8693
1603,1.62,Ideal,G,VS2,ID,ID,AGSL,14777
1604,1.04,Ideal,F,VS1,VG,VG,GIA,7925
1605,1.84,Ideal,E,VS2,VG,VG,GIA,21196
1606,1.63,Very Good,G,SI1,VG,VG,GIA,11368
1607,1.1,Ideal,I,SI1,ID,ID,AGSL,5199
1608,0.9,Very Good,H,VS2,VG,VG,GIA,4178
1609,1.14,Ideal,E,VVS2,EX,EX,GIA,11206
1610,1.21,Signature-Ideal,G,VS1,ID,ID,AGSL,10685
1611,2.01,Very Good,G,VS2,VG,EX,GIA,23015
1612,1.02,Very Good,G,VVS2,VG,VG,GIA,7824
1613,2.45,Ideal,H,VVS2,EX,VG,GIA,28691
1614,1.01,Very Good,G,SI1,VG,VG,GIA,4905
1615,1.01,Good,E,VS2,VG,G,GIA,5829
1616,1.5,Very Good,I,VS1,VG,VG,GIA,9759
1617,2.01,Ideal,G,VS1,VG,VG,GIA,26659
1618,2.28,Very Good,H,IF,EX,EX,GIA,30830
1619,1.01,Ideal,G,VS2,EX,EX,GIA,6734
1620,1.12,Signature-Ideal,F,SI1,EX,EX,GIA,7812
1621,1.63,Ideal,I,VVS2,ID,ID,AGSL,12174
1622,0.91,Good,D,SI1,VG,G,GIA,4265
1623,0.79,Very Good,D,SI1,G,VG,GIA,3432
1624,2.19,Ideal,F,VVS2,EX,EX,GIA,41957
1625,1.71,Ideal,I,SI1,VG,EX,GIA,10668
1626,1.13,Signature-Ideal,G,SI1,ID,ID,AGSL,6970
1627,1.29,Ideal,H,SI1,VG,VG,GIA,7384
1628,1.07,Ideal,I,SI1,EX,EX,GIA,4958
1629,0.9,Good,I,VVS1,VG,VG,GIA,3741
1630,0.99,Very Good,G,SI1,VG,G,GIA,4495
1631,1.49,Good,F,SI1,G,G,GIA,9849
1632,1.57,Ideal,H,VS2,VG,EX,GIA,12004
1633,1.5,Good,G,SI1,EX,G,GIA,8690
1634,1.03,Ideal,I,VS2,EX,EX,GIA,5378
1635,1.33,Very Good,D,IF,VG,VG,GIA,22783
1636,1.5,Good,I,SI1,EX,VG,GIA,8161
1637,2.15,Very Good,H,SI1,VG,G,GIA,18858
1638,2.14,Ideal,I,SI1,ID,ID,AGSL,17946
1639,1.06,Very Good,E,SI1,VG,VG,GIA,5445
1640,2.04,Ideal,E,SI1,EX,EX,GIA,22553
1641,1.07,Signature-Ideal,E,VS2,ID,ID,AGSL,9177
1642,1.04,Signature-Ideal,I,VS1,EX,EX,GIA,6335
1643,0.9,Fair,I,VVS2,VG,VG,GIA,3288
1644,1.19,Signature-Ideal,D,SI1,EX,EX,GIA,9066
1645,0.9,Good,G,VS2,EX,G,GIA,4291
1646,1.12,Ideal,H,SI1,EX,EX,GIA,5818
1647,1.03,Very Good,G,SI1,VG,VG,GIA,5024
1648,2.01,Good,I,VS2,EX,EX,GIA,16304
1649,1.06,Very Good,H,SI1,EX,EX,GIA,5664
1650,1.15,Ideal,G,VVS1,EX,EX,GIA,10265
1651,1.71,Ideal,H,VS2,ID,ID,AGSL,14744
1652,1.03,Ideal,G,VS2,EX,EX,GIA,7726
1653,2.02,Good,F,VS2,VG,G,GIA,26216
1654,1.04,Ideal,E,VS1,EX,VG,GIA,8168
1655,1,Very Good,G,SI1,VG,G,GIA,4793
1656,1.2,Ideal,F,VS1,EX,EX,GIA,9641
1657,1.22,Signature-Ideal,D,VS2,ID,ID,AGSL,11704
1658,2.03,Good,G,VS1,VG,VG,GIA,23726
1659,1.3,Very Good,H,VS1,VG,G,GIA,7835
1660,1.7,Very Good,G,SI1,VG,VG,GIA,12410
1661,1.02,Good,H,SI1,VG,G,GIA,4654
1662,2.46,Ideal,F,VS2,EX,EX,GIA,38641
1663,0.9,Very Good,G,VS2,VG,G,GIA,4484
1664,2.02,Very Good,F,SI1,VG,VG,GIA,20548
1665,1.6,Ideal,H,SI1,VG,VG,GIA,10408
1666,2.18,Very Good,E,VVS2,EX,VG,GIA,41874
1667,1,Very Good,E,SI1,VG,VG,GIA,5382
1668,1.11,Ideal,G,VS1,EX,EX,GIA,8129
1669,1.04,Ideal,G,VS1,ID,ID,AGSL,6831
1670,1.5,Ideal,I,SI1,EX,EX,GIA,8685
1671,1.34,Ideal,G,IF,VG,VG,GIA,11104
1672,1.13,Ideal,I,VS1,ID,ID,AGSL,5813
1673,1.5,Very Good,G,SI1,EX,G,GIA,10633
1674,2.01,Ideal,H,SI1,VG,VG,GIA,17674
1675,1.22,Ideal,H,VS1,EX,EX,GIA,8167
1676,0.9,Very Good,D,VS1,EX,VG,GIA,5969
1677,1.57,Ideal,I,SI1,ID,ID,AGSL,9460
1678,1.2,Very Good,G,SI1,VG,VG,GIA,6076
1679,1.26,Good,E,VVS1,VG,VG,GIA,11452
1680,1.24,Very Good,I,VS2,VG,VG,GIA,6134
1681,1.26,Ideal,G,VS1,EX,VG,GIA,10109
1682,0.78,Ideal,D,VS2,EX,EX,GIA,4183
1683,2.18,Very Good,G,SI1,VG,EX,GIA,20773
1684,1.01,Very Good,F,VS1,VG,VG,GIA,6914
1685,1.29,Very Good,I,VS2,G,VG,GIA,6684
1686,1.64,Ideal,I,VS2,ID,ID,AGSL,11274
1687,1.28,Very Good,H,VS2,VG,G,GIA,7517
1688,1.04,Very Good,G,SI1,VG,VG,GIA,5762
1689,1.5,Good,G,SI1,EX,VG,GIA,10271
1690,1.51,Very Good,E,SI1,EX,VG,GIA,12185
1691,1,Very Good,E,VS2,VG,VG,GIA,6396
1692,0.92,Signature-Ideal,I,SI1,EX,EX,GIA,4488
1693,2.11,Ideal,H,VS2,VG,VG,GIA,20911
1694,2.04,Very Good,D,VVS1,VG,VG,GIA,41867
1695,1.19,Very Good,E,SI1,VG,VG,GIA,5956
1696,1.01,Fair,H,SI1,VG,EX,GIA,4228
1697,0.87,Ideal,D,SI1,G,G,GIA,4108
1698,1.01,Ideal,I,VS2,EX,EX,GIA,5119
1699,1.02,Very Good,E,VS2,G,VG,GIA,6526
1700,1.16,Ideal,F,SI1,EX,EX,GIA,6768
1701,1.24,Ideal,G,IF,EX,EX,GIA,13178
1702,1.11,Very Good,F,VS1,G,G,GIA,8233
1703,1,Good,E,SI1,EX,EX,GIA,5384
1704,1.03,Ideal,E,VVS2,ID,ID,AGSL,9932
1705,0.9,Good,F,VS2,VG,G,GIA,4655
1706,1.5,Ideal,I,SI1,VG,G,GIA,8291
1707,0.92,Good,E,VVS2,VG,G,GIA,5262
1708,1.01,Very Good,G,SI1,VG,G,GIA,4972
1709,1.02,Ideal,G,VS1,EX,VG,GIA,7038
1710,1.59,Ideal,D,SI1,EX,VG,GIA,13600
1711,1.09,Fair,H,SI1,G,VG,GIA,4697
1712,2.41,Ideal,I,VS2,VG,VG,GIA,19971
1713,1.51,Very Good,I,VS1,EX,EX,GIA,9704
1714,1.09,Good,H,VVS2,VG,VG,GIA,6651
1715,1.15,Ideal,H,SI1,VG,VG,GIA,5372
1716,1,Ideal,H,VVS1,VG,VG,GIA,6535
1717,1.22,Very Good,G,SI1,VG,VG,GIA,6278
1718,1.14,Very Good,D,SI1,EX,EX,GIA,6464
1719,1.11,Ideal,I,SI1,VG,VG,GIA,4849
1720,1.51,Good,H,SI1,EX,EX,GIA,10277
1721,2.01,Ideal,F,VS1,EX,EX,GIA,34538
1722,1.51,Very Good,I,SI1,EX,EX,GIA,8420
1723,0.82,Very Good,G,SI1,G,VG,GIA,3032
1724,0.79,Ideal,D,VS2,EX,VG,GIA,3768
1725,1.04,Ideal,E,VVS2,VG,VG,GIA,10792
1726,1.15,Very Good,E,VS1,VG,G,GIA,8906
1727,1.01,Good,D,VS2,EX,EX,GIA,6998
1728,1.07,Ideal,H,VS2,VG,EX,GIA,5889
1729,1.53,Very Good,H,SI1,G,EX,GIA,9332
1730,1.01,Very Good,F,VS2,EX,VG,GIA,7037
1731,1.52,Ideal,F,SI1,ID,ID,AGSL,12153
1732,2.05,Ideal,H,VS1,VG,VG,GIA,21630
1733,0.91,Very Good,E,SI1,VG,VG,GIA,4518
1734,0.91,Ideal,E,VS2,EX,VG,GIA,5503
1735,2.01,Very Good,D,VS1,G,G,GIA,34305
1736,2.51,Very Good,I,VVS2,EX,G,GIA,28847
1737,1.05,Ideal,G,VS1,EX,EX,GIA,7440
1738,1.01,Very Good,D,SI1,VG,VG,GIA,5122
1739,2.05,Ideal,G,IF,VG,G,GIA,34736
1740,0.92,Ideal,E,SI1,EX,EX,GIA,5516
1741,2.2,Ideal,D,VS2,VG,VG,GIA,32780
1742,2,Very Good,G,SI1,EX,EX,GIA,19213
1743,1.02,Very Good,E,SI1,VG,VG,GIA,5207
1744,0.9,Very Good,D,SI1,EX,G,GIA,4405
1745,0.78,Very Good,E,SI1,EX,EX,GIA,2565
1746,2.04,Very Good,I,VS1,VG,VG,GIA,17219
1747,0.8,Ideal,E,VS1,VG,EX,GIA,4086
1748,2.03,Ideal,F,VS2,EX,EX,GIA,31773
1749,1.11,Signature-Ideal,I,VS2,ID,ID,AGSL,6395
1750,2.51,Ideal,F,SI1,EX,EX,GIA,31298
1751,1.11,Ideal,E,VVS2,ID,ID,AGSL,11074
1752,0.9,Good,F,SI1,EX,VG,GIA,4004
1753,0.82,Very Good,F,SI1,G,VG,AGSL,3048
